data e hora	media_coef	num_row	accurate	per_i	qtd_dias
 2023-11-12 16:06:32.871992 	0.182443182	10	1	6	26
 2023-11-12 16:10:49.405157 	0.18457486	10	1	6	26
 2023-11-12 16:15:31.609748 	0.348596232	10	1	7	26
 2023-11-12 16:18:49.620872 	0.351484275	10	1	7	26
 2023-11-12 16:22:34.28139 	0.352649384	10	1	7	26
 2023-11-12 16:26:19.222633 	0.358277297	10	1	7	26
 2023-11-12 16:31:36.709426 	0.352760548	10	1	7	26
 2023-11-12 16:42:46.980508 	0.234562365	10	1	4	27
 2023-11-12 16:45:56.864749 	0.238944411	10	1	4	27
 2023-11-12 16:51:52.124395 	0.236620441	10	1	4	27
 2023-11-12 16:54:56.962012 	0.235561627	10	1	4	27
 2023-11-12 16:58:42.495922 	0.237191183	10	1	4	27
 2023-11-12 17:02:22.674971 	0.174766447	10	1	5	27
 2023-11-12 17:08:17.19592 	0.170888829	10	1	5	27
 2023-11-12 17:14:00.467689 	0.173710345	10	1	5	27
 2023-11-12 17:19:47.17475 	0.173504524	10	1	5	27
 2023-11-12 17:23:33.692305 	0.174805039	10	1	5	27
 2023-11-12 17:28:38.92193 	0.181636012	10	1	6	27
 2023-11-12 17:35:59.451495 	0.17914648	10	1	6	27
 2023-11-12 17:41:49.283789 	0.174664711	10	1	6	27
